,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Origin,Age
0,18.0,8,307.0,130,3504,12.0,US,54
3,16.0,8,304.0,150,3433,12.0,US,54
4,17.0,8,302.0,140,3449,10.5,US,54
6,14.0,8,454.0,220,4354,9.0,US,54
7,23.55142857142857,8,440.0,215,4312,8.5,US,54
8,14.0,8,455.0,225,4425,8.5,US,54
9,15.0,8,390.0,190,3850,8.5,US,54
10,15.0,8,383.0,170,3563,10.0,US,54
11,14.0,5,340.0,160,3609,8.0,US,54
12,23.55142857142857,8,400.0,150,3761,9.5,US,54
13,14.0,8,455.0,225,3086,10.0,US,54
14,24.0,4,113.0,95,2372,15.0,Japan,54
15,22.0,6,198.0,95,2833,15.5,US,54
16,18.0,6,199.0,97,2774,15.5,US,54
17,21.0,6,200.0,85,2587,16.0,US,54
18,27.0,4,97.0,88,2130,14.5,Japan,54
19,26.0,4,97.0,46,1835,15.5,Europe,54
20,23.55142857142857,4,110.0,87,2672,17.5,Europe,54
21,24.0,4,107.0,90,2430,14.5,Europe,54
22,25.0,5,104.0,95,2375,17.5,Europe,54
23,26.0,4,121.0,113,2234,12.5,Europe,54
24,21.0,6,199.0,90,2648,15.0,US,54
25,10.0,8,360.0,215,4615,14.0,US,54
26,10.0,8,307.0,200,4376,15.0,US,54
27,11.0,8,318.0,210,4382,15.0,US,54
28,9.0,8,304.0,193,4732,18.5,US,54
29,27.0,4,97.0,88,2130,14.5,Japan,53
30,23.55142857142857,4,140.0,90,2264,15.5,US,53
31,25.0,4,113.0,95,2228,14.0,Japan,53
32,19.0,5,232.0,100,2634,13.0,US,53
33,16.0,6,225.0,105,3439,13.0,US,53
34,17.0,6,250.0,100,3329,15.5,US,53
35,19.0,6,250.0,88,3302,15.5,US,53
36,18.0,6,232.0,100,3288,15.5,US,53
37,14.0,8,350.0,165,4209,12.0,US,53
38,14.0,8,400.0,175,4464,11.5,US,53
39,14.0,8,351.0,153,4154,13.5,US,53
40,23.55142857142857,8,318.0,150,4096,13.0,US,53
41,12.0,8,383.0,180,4955,11.5,US,53
42,13.0,5,400.0,170,4746,12.0,US,53
43,13.0,8,400.0,175,5140,12.0,US,53
44,18.0,6,258.0,110,2962,13.5,US,53
45,22.0,4,140.0,72,2408,19.0,US,53
46,19.0,6,250.0,100,3282,15.0,US,53
47,18.0,6,250.0,88,3139,14.5,US,53
48,23.0,4,122.0,86,2220,13.0,US,53
49,28.0,4,116.0,90,2123,14.0,Europe,53
50,23.55142857142857,4,79.0,70,2074,19.5,Europe,53
51,30.0,5,88.0,76,2065,14.5,Europe,53
52,31.0,4,71.0,65,1773,19.0,Japan,53
53,35.0,4,72.0,69,1613,18.0,Japan,53
54,27.0,4,97.0,60,1834,19.0,Europe,53
55,26.0,4,91.0,70,1955,20.5,US,53
56,24.0,4,113.0,95,2278,15.5,Japan,52
57,25.0,4,97.5,80,2126,17.0,US,52
58,23.0,5,97.0,54,2254,23.5,Europe,52
59,20.0,4,140.0,90,2408,19.5,US,52
60,21.0,4,122.0,86,2226,16.5,US,52
61,13.0,8,350.0,165,4274,12.0,US,52
62,14.0,8,400.0,175,4385,12.0,US,52
63,15.0,8,318.0,150,4135,13.5,US,52
64,14.0,8,351.0,153,4129,13.0,US,52
65,17.0,8,304.0,150,3672,11.5,US,52
66,11.0,8,429.0,208,4633,11.0,US,52
68,12.0,8,350.0,160,4456,13.5,US,52
69,13.0,5,400.0,190,4422,12.5,US,52
70,23.55142857142857,3,70.0,97,2330,13.5,Japan,52
71,15.0,8,304.0,150,3892,12.5,US,52
72,13.0,8,307.0,130,4098,14.0,US,52
73,13.0,8,302.0,140,4294,16.0,US,52
74,14.0,8,318.0,150,4077,14.0,US,52
75,18.0,4,121.0,112,2933,14.5,Europe,52
76,22.0,4,121.0,76,2511,18.0,Europe,52
77,21.0,4,120.0,87,2979,19.5,Europe,52
78,26.0,4,96.0,69,2189,18.0,Europe,52
79,22.0,4,122.0,86,2395,16.0,US,52
80,28.0,4,97.0,92,2288,17.0,Japan,52
81,23.55142857142857,4,120.0,97,2506,14.5,Japan,52
82,28.0,5,98.0,80,2164,15.0,US,52
83,27.0,4,97.0,88,2100,16.5,Japan,52
84,13.0,8,350.0,175,4100,13.0,US,51
85,14.0,8,304.0,150,3672,11.5,US,51
86,13.0,8,350.0,145,3988,13.0,US,51
87,14.0,8,302.0,137,4042,14.5,US,51
89,12.0,5,429.0,198,4952,11.5,US,51
90,13.0,8,400.0,150,4464,12.0,US,51
91,23.55142857142857,8,351.0,158,4363,13.0,US,51
92,14.0,8,318.0,150,4237,14.5,US,51
93,13.0,8,440.0,215,4735,11.0,US,51
94,12.0,8,455.0,225,4951,11.0,US,51
95,13.0,8,360.0,175,3821,11.0,US,51
96,18.0,6,225.0,105,3121,16.5,US,51
97,16.0,6,250.0,100,3278,18.0,US,51
98,18.0,6,232.0,100,2945,16.0,US,51
99,18.0,6,250.0,88,3021,16.5,US,51
101,26.0,4,97.0,46,1950,21.0,Europe,51
102,11.0,8,400.0,150,4997,14.0,US,51
103,12.0,8,400.0,167,4906,12.5,US,51
104,13.0,8,360.0,170,4654,13.0,US,51
105,12.0,8,350.0,180,4499,12.5,US,51
106,18.0,6,232.0,100,2789,15.0,US,51
107,20.0,4,97.0,88,2279,19.0,Japan,51
108,21.0,4,140.0,72,2401,19.5,US,51
109,22.0,4,108.0,94,2379,16.5,Japan,51
110,18.0,3,70.0,90,2124,13.5,Japan,51
112,21.0,6,155.0,107,2472,14.0,US,51
113,26.0,4,98.0,90,2265,15.5,Europe,51
114,15.0,8,350.0,145,4082,13.0,US,51
115,16.0,8,400.0,230,4278,9.5,US,51
116,29.0,4,68.0,49,1867,19.5,Europe,51
117,24.0,4,116.0,75,2158,15.5,Europe,51
118,20.0,4,114.0,91,2582,14.0,Europe,51
119,19.0,4,121.0,112,2868,15.5,Europe,51
120,15.0,8,318.0,150,3399,11.0,US,51
121,24.0,4,121.0,110,2660,14.0,Europe,51
122,20.0,6,156.0,122,2807,13.5,Japan,51
123,11.0,8,350.0,180,3664,11.0,US,51
124,20.0,6,198.0,95,3102,16.5,US,50
125,19.0,6,232.0,100,2901,16.0,US,50
126,15.0,6,250.0,100,3336,17.0,US,50
127,31.0,4,79.0,67,1950,19.0,Japan,50
128,26.0,4,122.0,80,2451,16.5,US,50
129,32.0,4,71.0,65,1836,21.0,Japan,50
130,25.0,4,140.0,75,2542,17.0,US,50
131,16.0,6,250.0,100,3781,17.0,US,50
